Date_Opened,Change_Control,Days_Open
3/1,24061,3
3/2,24062,1
3/2,24063,0
3/2,24064,8
3/2,24065,1
3/2,24066,1
4/,24067,0
4/,24068,1
4/,24069,5
4/,24070,0
4/,24071,2
4/,24071,2
4/1,24072,1
4/1,24072,1
4/1,24073,1
4/1,24074,1
4/1,24075,2
